There are 4000 cats
 There are 4005 dogs
参数数目:736450

Step:      0, loss: 0.69494462, accuracy: 32.13%, time:0.65s, time left: 0.03hours
Step:    100, loss: 0.69309717, accuracy: 53.56%, time:4.55s, time left: 0.19hours
Step:    200, loss: 0.69346821, accuracy: 53.56%, time:4.61s, time left: 0.19hours
Step:    300, loss: 0.69145274, accuracy: 57.13%, time:4.58s, time left: 0.19hours
Step:    400, loss: 0.69024795, accuracy: 53.56%, time:4.75s, time left: 0.19hours
Step:    500, loss: 0.67576945, accuracy: 67.82%, time:4.52s, time left: 0.18hours
Step:    600, loss: 0.70031130, accuracy: 50.00%, time:4.46s, time left: 0.18hours
Step:    700, loss: 0.67521572, accuracy: 46.44%, time:4.71s, time left: 0.19hours
Step:    800, loss: 0.62428606, accuracy: 64.26%, time:4.61s, time left: 0.18hours
Step:    900, loss: 0.60616499, accuracy: 64.26%, time:4.55s, time left: 0.18hours
Step:   1000, loss: 0.83967495, accuracy: 50.00%, time:4.48s, time left: 0.17hours
Step:   1100, loss: 0.65845406, accuracy: 60.69%, time:4.60s, time left: 0.18hours
Step:   1200, loss: 0.62397206, accuracy: 71.39%, time:4.49s, time left: 0.17hours
Step:   1300, loss: 0.71732670, accuracy: 46.44%, time:4.54s, time left: 0.17hours
Step:   1400, loss: 0.70938319, accuracy: 64.26%, time:4.54s, time left: 0.17hours
Step:   1500, loss: 0.68013328, accuracy: 53.56%, time:4.62s, time left: 0.17hours
Step:   1600, loss: 0.61303294, accuracy: 67.82%, time:4.47s, time left: 0.17hours
Step:   1700, loss: 0.55416846, accuracy: 71.39%, time:4.57s, time left: 0.17hours
Step:   1800, loss: 0.75953972, accuracy: 53.56%, time:4.63s, time left: 0.17hours
Step:   1900, loss: 0.37676054, accuracy: 82.13%, time:4.60s, time left: 0.17hours
Step:   2000, loss: 0.46297479, accuracy: 82.13%, time:4.46s, time left: 0.16hours
Step:   2100, loss: 0.72367030, accuracy: 64.26%, time:4.74s, time left: 0.17hours
Step:   2200, loss: 0.46083218, accuracy: 78.52%, time:4.48s, time left: 0.16hours
Step:   2300, loss: 0.46159965, accuracy: 71.39%, time:4.64s, time left: 0.16hours
Step:   2400, loss: 0.45655423, accuracy: 78.52%, time:4.40s, time left: 0.15hours
Step:   2500, loss: 0.39135367, accuracy: 89.26%, time:4.49s, time left: 0.16hours
Step:   2600, loss: 0.55696517, accuracy: 82.13%, time:4.93s, time left: 0.17hours
Step:   2700, loss: 0.51066625, accuracy: 78.52%, time:4.55s, time left: 0.16hours
Step:   2800, loss: 0.48308155, accuracy: 74.95%, time:4.54s, time left: 0.15hours
Step:   2900, loss: 0.52883035, accuracy: 67.82%, time:4.75s, time left: 0.16hours
Step:   3000, loss: 0.67764282, accuracy: 60.69%, time:4.52s, time left: 0.15hours
Step:   3100, loss: 0.49275026, accuracy: 71.39%, time:4.68s, time left: 0.15hours
Step:   3200, loss: 0.78624964, accuracy: 53.56%, time:4.55s, time left: 0.15hours
Step:   3300, loss: 0.35824826, accuracy: 89.26%, time:4.53s, time left: 0.15hours
Step:   3400, loss: 0.39133188, accuracy: 85.74%, time:4.57s, time left: 0.15hours
Step:   3500, loss: 0.41124129, accuracy: 89.26%, time:4.58s, time left: 0.15hours
Step:   3600, loss: 0.33754000, accuracy: 82.13%, time:4.58s, time left: 0.15hours
Step:   3700, loss: 0.56715417, accuracy: 67.82%, time:4.75s, time left: 0.15hours
Step:   3800, loss: 0.32355547, accuracy: 78.52%, time:4.59s, time left: 0.14hours
Step:   3900, loss: 0.36330432, accuracy: 89.26%, time:4.70s, time left: 0.14hours
Step:   4000, loss: 0.36455321, accuracy: 85.69%, time:4.78s, time left: 0.15hours
Step:   4100, loss: 0.24519929, accuracy: 92.87%, time:4.71s, time left: 0.14hours
Step:   4200, loss: 0.20726046, accuracy: 92.87%, time:4.62s, time left: 0.14hours
Step:   4300, loss: 0.43564862, accuracy: 78.52%, time:4.60s, time left: 0.14hours
Step:   4400, loss: 0.44246310, accuracy: 67.82%, time:4.62s, time left: 0.14hours
Step:   4500, loss: 0.61560661, accuracy: 75.00%, time:4.63s, time left: 0.14hours
Step:   4600, loss: 0.30698392, accuracy: 74.95%, time:4.61s, time left: 0.13hours
Step:   4700, loss: 0.44897774, accuracy: 78.52%, time:4.65s, time left: 0.13hours
Step:   4800, loss: 0.23515895, accuracy: 92.87%, time:4.46s, time left: 0.13hours
Step:   4900, loss: 0.29431942, accuracy: 85.69%, time:4.63s, time left: 0.13hours
Step:   5000, loss: 0.22244880, accuracy: 89.26%, time:4.55s, time left: 0.13hours
Step:   5100, loss: 0.25602409, accuracy: 89.26%, time:4.67s, time left: 0.13hours
Step:   5200, loss: 0.33478630, accuracy: 78.52%, time:4.51s, time left: 0.12hours
Step:   5300, loss: 0.34954894, accuracy: 82.13%, time:4.54s, time left: 0.12hours
Step:   5400, loss: 0.50336730, accuracy: 71.39%, time:4.69s, time left: 0.13hours
Step:   5500, loss: 0.40722072, accuracy: 71.44%, time:4.67s, time left: 0.12hours
Step:   5600, loss: 0.43399003, accuracy: 78.52%, time:4.70s, time left: 0.12hours
Step:   5700, loss: 0.27179313, accuracy: 85.69%, time:4.59s, time left: 0.12hours
Step:   5800, loss: 0.38172182, accuracy: 85.69%, time:4.49s, time left: 0.11hours
Step:   5900, loss: 0.23945123, accuracy: 85.69%, time:4.59s, time left: 0.12hours
Step:   6000, loss: 0.32827419, accuracy: 78.52%, time:4.55s, time left: 0.11hours
Step:   6100, loss: 0.22779983, accuracy: 92.87%, time:4.71s, time left: 0.12hours
Step:   6200, loss: 0.32914734, accuracy: 85.69%, time:4.46s, time left: 0.11hours
Step:   6300, loss: 0.18497840, accuracy: 92.87%, time:4.60s, time left: 0.11hours
Step:   6400, loss: 0.66581678, accuracy: 67.82%, time:4.62s, time left: 0.11hours
Step:   6500, loss: 0.50841147, accuracy: 74.95%, time:4.47s, time left: 0.11hours
Step:   6600, loss: 0.19924796, accuracy: 92.87%, time:4.65s, time left: 0.11hours
Step:   6700, loss: 0.15119435, accuracy: 96.44%, time:4.60s, time left: 0.11hours
Step:   6800, loss: 0.38012624, accuracy: 85.69%, time:4.55s, time left: 0.10hours
Step:   6900, loss: 0.23213835, accuracy: 85.69%, time:4.54s, time left: 0.10hours
Step:   7000, loss: 0.29993251, accuracy: 85.69%, time:4.59s, time left: 0.10hours
Step:   7100, loss: 0.21726328, accuracy: 89.26%, time:4.81s, time left: 0.11hours
Step:   7200, loss: 0.09760563, accuracy: 96.44%, time:4.60s, time left: 0.10hours
Step:   7300, loss: 0.42531621, accuracy: 82.13%, time:4.62s, time left: 0.10hours
Step:   7400, loss: 0.32965305, accuracy: 85.69%, time:4.71s, time left: 0.10hours
Step:   7500, loss: 0.20554955, accuracy: 89.26%, time:4.79s, time left: 0.10hours
Step:   7600, loss: 0.13077305, accuracy: 92.87%, time:4.59s, time left: 0.09hours
Step:   7700, loss: 0.32060617, accuracy: 89.26%, time:4.65s, time left: 0.09hours
Step:   7800, loss: 0.10026516, accuracy: 100.00%, time:4.66s, time left: 0.09hours
Step:   7900, loss: 0.33236310, accuracy: 85.69%, time:4.53s, time left: 0.09hours
Step:   8000, loss: 0.19408502, accuracy: 89.26%, time:4.58s, time left: 0.09hours
Step:   8100, loss: 0.22340402, accuracy: 92.87%, time:4.71s, time left: 0.09hours
Step:   8200, loss: 0.30307174, accuracy: 85.69%, time:4.55s, time left: 0.09hours
Step:   8300, loss: 0.31900871, accuracy: 85.69%, time:4.59s, time left: 0.09hours
Step:   8400, loss: 0.06375746, accuracy: 100.00%, time:4.71s, time left: 0.09hours
Step:   8500, loss: 0.01140903, accuracy: 100.00%, time:4.70s, time left: 0.08hours
Step:   8600, loss: 0.08534440, accuracy: 96.44%, time:4.59s, time left: 0.08hours
Step:   8700, loss: 0.09258331, accuracy: 96.44%, time:4.60s, time left: 0.08hours
Step:   8800, loss: 0.16060513, accuracy: 89.26%, time:4.61s, time left: 0.08hours
Step:   8900, loss: 0.08717337, accuracy: 96.44%, time:4.59s, time left: 0.08hours
Step:   9000, loss: 0.22780192, accuracy: 92.87%, time:4.61s, time left: 0.08hours
Step:   9100, loss: 0.20630987, accuracy: 92.87%, time:4.64s, time left: 0.08hours
Step:   9200, loss: 0.01688440, accuracy: 100.00%, time:4.62s, time left: 0.07hours
Step:   9300, loss: 0.08451647, accuracy: 100.00%, time:4.65s, time left: 0.07hours
Step:   9400, loss: 0.05086469, accuracy: 100.00%, time:4.68s, time left: 0.07hours
Step:   9500, loss: 0.10055404, accuracy: 92.87%, time:4.60s, time left: 0.07hours
Step:   9600, loss: 0.06444177, accuracy: 96.44%, time:4.58s, time left: 0.07hours
Step:   9700, loss: 0.09566674, accuracy: 96.44%, time:4.50s, time left: 0.07hours
Step:   9800, loss: 0.12263560, accuracy: 96.44%, time:4.49s, time left: 0.06hours
Step:   9900, loss: 0.05165752, accuracy: 100.00%, time:4.71s, time left: 0.07hours
Step:  10000, loss: 0.06336935, accuracy: 100.00%, time:4.60s, time left: 0.06hours
Step:  10100, loss: 0.09849556, accuracy: 96.44%, time:4.75s, time left: 0.06hours
Step:  10200, loss: 0.12472328, accuracy: 96.44%, time:4.53s, time left: 0.06hours
Step:  10300, loss: 0.10608785, accuracy: 96.44%, time:4.66s, time left: 0.06hours
Step:  10400, loss: 0.09699029, accuracy: 96.44%, time:4.62s, time left: 0.06hours
Step:  10500, loss: 0.06362052, accuracy: 96.44%, time:4.65s, time left: 0.06hours
Step:  10600, loss: 0.21430637, accuracy: 96.44%, time:4.71s, time left: 0.06hours
Step:  10700, loss: 0.01657167, accuracy: 100.00%, time:4.47s, time left: 0.05hours
Step:  10800, loss: 0.11206297, accuracy: 92.87%, time:4.50s, time left: 0.05hours
Step:  10900, loss: 0.00518104, accuracy: 100.00%, time:4.55s, time left: 0.05hours
Step:  11000, loss: 0.00340918, accuracy: 100.00%, time:4.62s, time left: 0.05hours
Step:  11100, loss: 0.07933619, accuracy: 96.44%, time:4.81s, time left: 0.05hours
Step:  11200, loss: 0.02153725, accuracy: 100.00%, time:4.70s, time left: 0.05hours
Step:  11300, loss: 0.06616522, accuracy: 92.87%, time:4.63s, time left: 0.05hours
Step:  11400, loss: 0.00086253, accuracy: 100.00%, time:4.68s, time left: 0.05hours
Step:  11500, loss: 0.02677727, accuracy: 100.00%, time:4.62s, time left: 0.04hours
Step:  11600, loss: 0.01901833, accuracy: 100.00%, time:4.59s, time left: 0.04hours
Step:  11700, loss: 0.02364747, accuracy: 100.00%, time:4.65s, time left: 0.04hours
Step:  11800, loss: 0.02353768, accuracy: 100.00%, time:4.62s, time left: 0.04hours
Step:  11900, loss: 0.02334346, accuracy: 100.00%, time:4.61s, time left: 0.04hours
Step:  12000, loss: 0.00594013, accuracy: 100.00%, time:4.62s, time left: 0.04hours
Step:  12100, loss: 0.01349135, accuracy: 100.00%, time:4.88s, time left: 0.04hours
Step:  12200, loss: 0.02362377, accuracy: 100.00%, time:4.67s, time left: 0.04hours
Step:  12300, loss: 0.03624483, accuracy: 100.00%, time:4.49s, time left: 0.03hours
Step:  12400, loss: 0.09701791, accuracy: 96.44%, time:4.56s, time left: 0.03hours
Step:  12500, loss: 0.00295228, accuracy: 100.00%, time:4.66s, time left: 0.03hours
Step:  12600, loss: 0.01298496, accuracy: 100.00%, time:4.78s, time left: 0.03hours
Step:  12700, loss: 0.04813825, accuracy: 96.44%, time:4.68s, time left: 0.03hours
Step:  12800, loss: 0.03624026, accuracy: 100.00%, time:4.71s, time left: 0.03hours
Step:  12900, loss: 0.03995015, accuracy: 96.44%, time:4.66s, time left: 0.03hours
Step:  13000, loss: 0.07152873, accuracy: 96.44%, time:4.66s, time left: 0.03hours
Step:  13100, loss: 0.00237847, accuracy: 100.00%, time:4.80s, time left: 0.03hours
Step:  13200, loss: 0.00354689, accuracy: 100.00%, time:4.57s, time left: 0.02hours
Step:  13300, loss: 0.01663630, accuracy: 100.00%, time:4.65s, time left: 0.02hours
Step:  13400, loss: 0.01914640, accuracy: 100.00%, time:4.66s, time left: 0.02hours
Step:  13500, loss: 0.21496227, accuracy: 96.44%, time:4.51s, time left: 0.02hours
Step:  13600, loss: 0.01285581, accuracy: 100.00%, time:4.68s, time left: 0.02hours
Step:  13700, loss: 0.09022243, accuracy: 96.44%, time:4.66s, time left: 0.02hours
Step:  13800, loss: 0.03776807, accuracy: 100.00%, time:4.63s, time left: 0.02hours
Step:  13900, loss: 0.00710414, accuracy: 100.00%, time:4.70s, time left: 0.01hours
Step:  14000, loss: 0.10144705, accuracy: 96.44%, time:4.57s, time left: 0.01hours
Step:  14100, loss: 0.00024632, accuracy: 100.00%, time:4.80s, time left: 0.01hours
Step:  14200, loss: 0.00094752, accuracy: 100.00%, time:4.55s, time left: 0.01hours
Step:  14300, loss: 0.00052955, accuracy: 100.00%, time:4.69s, time left: 0.01hours
Step:  14400, loss: 0.07048444, accuracy: 96.44%, time:4.64s, time left: 0.01hours
Step:  14500, loss: 0.09609479, accuracy: 96.44%, time:4.58s, time left: 0.01hours
Step:  14600, loss: 0.00404855, accuracy: 100.00%, time:4.57s, time left: 0.01hours
Step:  14700, loss: 0.02615234, accuracy: 100.00%, time:4.67s, time left: 0.00hours
Step:  14800, loss: 0.00117230, accuracy: 100.00%, time:4.56s, time left: 0.00hours
Step:  14900, loss: 0.02772688, accuracy: 100.00%, time:4.55s, time left: 0.00hours
