There are 4000 cats
 There are 4005 dogs
参数数目:1299666

Step:      0, loss: 0.69350028, accuracy: 32.13%, time:0.55s, time left: 0.02hours
Step:    100, loss: 0.69372463, accuracy: 35.69%, time:2.00s, time left: 0.08hours
Step:    200, loss: 0.61410326, accuracy: 64.26%, time:1.96s, time left: 0.08hours
Step:    300, loss: 0.62805843, accuracy: 67.82%, time:2.00s, time left: 0.08hours
Step:    400, loss: 0.55080223, accuracy: 67.82%, time:2.03s, time left: 0.08hours
Step:    500, loss: 0.66662621, accuracy: 64.26%, time:2.05s, time left: 0.08hours
Step:    600, loss: 0.55497849, accuracy: 71.39%, time:2.03s, time left: 0.08hours
Step:    700, loss: 0.51246440, accuracy: 74.95%, time:2.03s, time left: 0.08hours
Step:    800, loss: 0.44427073, accuracy: 82.13%, time:2.01s, time left: 0.08hours
Step:    900, loss: 0.48999423, accuracy: 82.13%, time:2.03s, time left: 0.08hours
Step:   1000, loss: 0.42059067, accuracy: 78.52%, time:2.06s, time left: 0.08hours
Step:   1100, loss: 0.37811273, accuracy: 82.13%, time:2.07s, time left: 0.08hours
Step:   1200, loss: 0.54193735, accuracy: 82.13%, time:2.02s, time left: 0.08hours
Step:   1300, loss: 0.43906054, accuracy: 85.69%, time:2.03s, time left: 0.08hours
Step:   1400, loss: 0.36339337, accuracy: 78.52%, time:2.02s, time left: 0.08hours
Step:   1500, loss: 0.32597494, accuracy: 89.26%, time:2.06s, time left: 0.08hours
Step:   1600, loss: 0.37396899, accuracy: 82.13%, time:2.07s, time left: 0.08hours
Step:   1700, loss: 0.45850629, accuracy: 85.69%, time:2.01s, time left: 0.07hours
Step:   1800, loss: 0.26354048, accuracy: 89.26%, time:2.04s, time left: 0.07hours
Step:   1900, loss: 0.44837064, accuracy: 75.00%, time:2.03s, time left: 0.07hours
Step:   2000, loss: 0.38022450, accuracy: 82.13%, time:2.03s, time left: 0.07hours
Step:   2100, loss: 0.25783563, accuracy: 89.26%, time:2.09s, time left: 0.08hours
Step:   2200, loss: 0.36277574, accuracy: 85.69%, time:2.04s, time left: 0.07hours
Step:   2300, loss: 0.38662532, accuracy: 78.52%, time:2.05s, time left: 0.07hours
Step:   2400, loss: 0.22997013, accuracy: 85.69%, time:2.04s, time left: 0.07hours
Step:   2500, loss: 0.33653805, accuracy: 74.95%, time:2.05s, time left: 0.07hours
Step:   2600, loss: 0.30621219, accuracy: 89.26%, time:2.07s, time left: 0.07hours
Step:   2700, loss: 0.30407637, accuracy: 85.74%, time:2.08s, time left: 0.07hours
Step:   2800, loss: 0.27023008, accuracy: 89.26%, time:2.07s, time left: 0.07hours
Step:   2900, loss: 0.19075501, accuracy: 92.87%, time:2.04s, time left: 0.07hours
Step:   3000, loss: 0.17578363, accuracy: 96.44%, time:2.05s, time left: 0.07hours
Step:   3100, loss: 0.14561549, accuracy: 96.44%, time:2.07s, time left: 0.07hours
Step:   3200, loss: 0.25700393, accuracy: 92.87%, time:2.03s, time left: 0.07hours
Step:   3300, loss: 0.20130037, accuracy: 92.87%, time:2.03s, time left: 0.07hours
Step:   3400, loss: 0.08883636, accuracy: 96.44%, time:2.00s, time left: 0.06hours
Step:   3500, loss: 0.13770425, accuracy: 92.87%, time:1.99s, time left: 0.06hours
Step:   3600, loss: 0.08825751, accuracy: 96.44%, time:2.06s, time left: 0.07hours
Step:   3700, loss: 0.21494310, accuracy: 89.26%, time:2.00s, time left: 0.06hours
Step:   3800, loss: 0.22488162, accuracy: 92.87%, time:2.06s, time left: 0.06hours
Step:   3900, loss: 0.01511199, accuracy: 100.00%, time:2.04s, time left: 0.06hours
Step:   4000, loss: 0.03896620, accuracy: 100.00%, time:2.04s, time left: 0.06hours
Step:   4100, loss: 0.01230693, accuracy: 100.00%, time:2.10s, time left: 0.06hours
Step:   4200, loss: 0.16837272, accuracy: 96.44%, time:2.11s, time left: 0.06hours
Step:   4300, loss: 0.02299470, accuracy: 100.00%, time:1.99s, time left: 0.06hours
Step:   4400, loss: 0.12689050, accuracy: 96.44%, time:2.07s, time left: 0.06hours
Step:   4500, loss: 0.03240254, accuracy: 100.00%, time:2.05s, time left: 0.06hours
Step:   4600, loss: 0.01440406, accuracy: 100.00%, time:2.06s, time left: 0.06hours
Step:   4700, loss: 0.00789416, accuracy: 100.00%, time:2.06s, time left: 0.06hours
Step:   4800, loss: 0.02168264, accuracy: 100.00%, time:2.05s, time left: 0.06hours
