Step:      0, loss: 0.69145751, accuracy: 53.56%, time:0.60s, time left: 0.03hours
Step:    100, loss: 0.68937880, accuracy: 60.69%, time:3.45s, time left: 0.14hours
Step:    200, loss: 0.68683541, accuracy: 53.56%, time:3.38s, time left: 0.14hours
Step:    300, loss: 0.64816546, accuracy: 67.82%, time:3.45s, time left: 0.14hours
Step:    400, loss: 0.63687992, accuracy: 67.82%, time:3.44s, time left: 0.14hours
Step:    500, loss: 0.67654586, accuracy: 57.13%, time:3.49s, time left: 0.14hours
Step:    600, loss: 0.70135003, accuracy: 50.00%, time:3.50s, time left: 0.14hours
Step:    700, loss: 0.65388823, accuracy: 60.69%, time:3.43s, time left: 0.14hours
Step:    800, loss: 0.57317919, accuracy: 71.39%, time:3.45s, time left: 0.14hours
Step:    900, loss: 0.62738311, accuracy: 64.26%, time:3.39s, time left: 0.13hours
Step:   1000, loss: 0.65065807, accuracy: 64.26%, time:3.40s, time left: 0.13hours
Step:   1100, loss: 0.67541754, accuracy: 53.56%, time:3.55s, time left: 0.14hours
Step:   1200, loss: 0.62138855, accuracy: 71.39%, time:3.46s, time left: 0.13hours
Step:   1300, loss: 0.62836182, accuracy: 67.82%, time:3.38s, time left: 0.13hours
Step:   1400, loss: 0.62377894, accuracy: 60.69%, time:3.41s, time left: 0.13hours
Step:   1500, loss: 0.67071581, accuracy: 53.56%, time:3.55s, time left: 0.13hours
Step:   1600, loss: 0.66281044, accuracy: 64.26%, time:3.49s, time left: 0.13hours
Step:   1700, loss: 0.63794643, accuracy: 57.13%, time:3.42s, time left: 0.13hours
Step:   1800, loss: 0.51835012, accuracy: 82.13%, time:3.46s, time left: 0.13hours
Step:   1900, loss: 0.50971681, accuracy: 74.95%, time:3.46s, time left: 0.13hours
Step:   2000, loss: 0.56978720, accuracy: 67.82%, time:3.43s, time left: 0.12hours
Step:   2100, loss: 0.47143811, accuracy: 75.00%, time:3.58s, time left: 0.13hours
Step:   2200, loss: 0.36287981, accuracy: 85.69%, time:3.43s, time left: 0.12hours
Step:   2300, loss: 0.56073970, accuracy: 67.82%, time:3.47s, time left: 0.12hours
Step:   2400, loss: 0.49432701, accuracy: 75.00%, time:3.38s, time left: 0.12hours
Step:   2500, loss: 0.47915816, accuracy: 78.56%, time:3.54s, time left: 0.12hours
Step:   2600, loss: 0.55905688, accuracy: 71.39%, time:3.47s, time left: 0.12hours
Step:   2700, loss: 0.51763594, accuracy: 71.39%, time:3.41s, time left: 0.12hours
Step:   2800, loss: 0.32968161, accuracy: 78.52%, time:3.46s, time left: 0.12hours
Step:   2900, loss: 0.42670980, accuracy: 82.13%, time:3.51s, time left: 0.12hours
Step:   3000, loss: 0.34817725, accuracy: 85.69%, time:3.44s, time left: 0.11hours
Step:   3100, loss: 0.44133115, accuracy: 78.52%, time:3.56s, time left: 0.12hours
Step:   3200, loss: 0.34091350, accuracy: 82.13%, time:3.41s, time left: 0.11hours
Step:   3300, loss: 0.43164456, accuracy: 82.13%, time:3.48s, time left: 0.11hours
Step:   3400, loss: 0.40538692, accuracy: 75.00%, time:3.36s, time left: 0.11hours
Step:   3500, loss: 0.46136796, accuracy: 85.69%, time:3.39s, time left: 0.11hours
Step:   3600, loss: 0.35014856, accuracy: 89.26%, time:3.49s, time left: 0.11hours
Step:   3700, loss: 0.47276562, accuracy: 71.39%, time:3.43s, time left: 0.11hours
